game_ID,bookie,matchup_type,Home_Team,Spread1,line1,Away_Team,Spread2,line2,game_time,last_updated
514ad4e46861e2aa51571079d75856b5,BetRivers,spreads,Atlanta Falcons,-2.5,-118,Seattle Seahawks,2.5,-104,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
514ad4e46861e2aa51571079d75856b5,Bovada,spreads,Atlanta Falcons,-2.5,-115,Seattle Seahawks,2.5,-105,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
4084732a953c2a15d46aca93da86fe87,DraftKings,spreads,Buffalo Bills,-9.0,-110,Tennessee Titans,9.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:46:18Z
4084732a953c2a15d46aca93da86fe87,Caesars,spreads,Buffalo Bills,-9.0,-110,Tennessee Titans,9.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:43:46Z
4084732a953c2a15d46aca93da86fe87,FanDuel,spreads,Buffalo Bills,-8.5,-115,Tennessee Titans,8.5,-105,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
4084732a953c2a15d46aca93da86fe87,MyBookie.ag,spreads,Buffalo Bills,-9.0,-110,Tennessee Titans,9.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:40:10Z
4084732a953c2a15d46aca93da86fe87,BetOnline.ag,spreads,Buffalo Bills,-9.0,-110,Tennessee Titans,9.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:45:41Z
4084732a953c2a15d46aca93da86fe87,LowVig.ag,spreads,Buffalo Bills,-9.0,-105,Tennessee Titans,9.0,-105,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
4084732a953c2a15d46aca93da86fe87,BetRivers,spreads,Buffalo Bills,-9.0,-110,Tennessee Titans,9.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
4084732a953c2a15d46aca93da86fe87,BetUS,spreads,Buffalo Bills,-9.5,-110,Tennessee Titans,9.5,-110,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
4084732a953c2a15d46aca93da86fe87,BetMGM,spreads,Buffalo Bills,-9.0,-110,Tennessee Titans,9.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
4084732a953c2a15d46aca93da86fe87,Bovada,spreads,Buffalo Bills,-9.0,-110,Tennessee Titans,9.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
63e9b5302666e36b47431100bcb22973,DraftKings,spreads,Cincinnati Bengals,-6.0,-110,Cleveland Browns,6.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:46:18Z
63e9b5302666e36b47431100bcb22973,Caesars,spreads,Cincinnati Bengals,-6.0,-110,Cleveland Browns,6.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:43:46Z
63e9b5302666e36b47431100bcb22973,BetUS,spreads,Cincinnati Bengals,-6.5,-105,Cleveland Browns,6.5,-115,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
